panel	id	included	function_name	source_file	source_sha256	variant	purpose	audience	input_class	classification	figure	caption	width_mm	height_mm	caption_separate	exclusion_reason	sampling_design	evidence_state
A	cross-sectional-atlas	TRUE	plot.MetadataAssociationAtlas	R/13b-component-interpretation.R	6b9315654ea82b01281c67c32128ee9765ffda69022c6fe41fc1b331dbf17a41	cross-sectional metadata association atlas	Raw component-score distributions and descriptive fits	scientific user	MetadataAssociationAtlas	public scientific evidence	cross-sectional-atlas.png	cross-sectional-atlas-caption.txt	100	100	TRUE		cross-sectional	exploratory scientific evidence
B	component-proposal	TRUE	plot.ComponentProposal	R/13b-component-interpretation.R	6b9315654ea82b01281c67c32128ee9765ffda69022c6fe41fc1b331dbf17a41	effect-first component proposal	Ranked component evidence before explicit confirmation	scientific user	ComponentProposal	public scientific evidence	component-proposal.png	component-proposal-caption.txt	100	100	TRUE		cross-sectional	exploratory scientific evidence
C	permutation-evidence	TRUE	plot.PermutationEvidence	R/13b-component-interpretation.R	6b9315654ea82b01281c67c32128ee9765ffda69022c6fe41fc1b331dbf17a41	search-aware maximum-effect null	Search-aware descriptive permutation evidence	scientific user	PermutationEvidence	public scientific evidence	permutation-evidence.png	permutation-evidence-caption.txt	100	100	TRUE		cross-sectional	descriptive search-aware evidence
D	association-abstention	TRUE	plot.AssociationAbstention	R/13b-component-interpretation.R	6b9315654ea82b01281c67c32128ee9765ffda69022c6fe41fc1b331dbf17a41	typed association abstention	Visible explanation when an association cannot be estimated	scientific user	AssociationAbstention	public scientific evidence	association-abstention.png	association-abstention-caption.txt	100	100	TRUE		cross-sectional	typed abstention evidence
E	component-abstention	TRUE	plot.ComponentAbstention	R/13b-component-interpretation.R	6b9315654ea82b01281c67c32128ee9765ffda69022c6fe41fc1b331dbf17a41	typed component-nomination abstention	Visible explanation when no component can be nominated	scientific user	ComponentAbstention	public scientific evidence	component-abstention.png	component-abstention-caption.txt	100	100	TRUE		cross-sectional	typed abstention evidence
F	independent-time-course	TRUE	plot.MetadataAssociationAtlas	R/13c-independent-time-course-interpretation.R	b47ad3daf3304fdccaaa85165a488614152f266c059d6b1eda1d59ddfc045949	independent destructive time-course atlas	Destructive-time-course trajectory evidence	scientific user	MetadataAssociationAtlas	public scientific evidence	independent-time-course.png	independent-time-course-caption.txt	100	100	TRUE		independent destructive time-course	exploratory scientific evidence
G	repeated-subject-time-course	TRUE	plot.MetadataAssociationAtlas	R/13d-repeated-time-course-interpretation.R	bf5d9b9fa431c1ef2f71ca704b5498677bd40350e349f00dbb4abb98959ccbd1	repeated-subject trajectory atlas	Subject-preserving repeated-measures evidence	scientific user	MetadataAssociationAtlas	public scientific evidence	repeated-subject-time-course.png	repeated-subject-time-course-caption.txt	100	100	TRUE		repeated-subject time course	exploratory scientific evidence
H	stage1-components-categorical	TRUE	plot_components	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	categorical metadata	Descriptive component distributions by category	scientific user	StateTransitionData with Stage 1	public scientific evidence	stage1-components-categorical.png	stage1-components-categorical-caption.txt	100	100	TRUE		design declared by input	descriptive state-space evidence
I	stage1-components-continuous	TRUE	plot_components	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	continuous observed-time metadata	Descriptive component distributions by continuous metadata	scientific user	StateTransitionData with Stage 1	public scientific evidence	stage1-components-continuous.png	stage1-components-continuous-caption.txt	100	100	TRUE		design declared by input	descriptive state-space evidence
J	stage1-decomposition	TRUE	plot_decomposition	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	sample coordinates on component 1	Sample-level state-space coordinates by molecular layer	scientific user	StateTransitionData with Stage 1	public scientific evidence	stage1-decomposition.png	stage1-decomposition-caption.txt	100	100	TRUE		design declared by input	descriptive state-space evidence
