id	function_name	source_file	source_sha256	purpose	classification	palette_rule	claim_status
cross-sectional-atlas	plot.MetadataAssociationAtlas	R/13b-component-interpretation.R	665d2b1610f810cb6056430f0b5615385e4b87cc7f2dfc9176feb2fd15948d7a	Raw component-score distributions and descriptive fits	compliant	canonical semantic roles or signed diverging roles are explicit	exploratory scientific evidence
component-proposal	plot.ComponentProposal	R/13b-component-interpretation.R	665d2b1610f810cb6056430f0b5615385e4b87cc7f2dfc9176feb2fd15948d7a	Ranked component evidence before explicit confirmation	compliant	canonical semantic roles or signed diverging roles are explicit	exploratory scientific evidence
permutation-evidence	plot.PermutationEvidence	R/13b-component-interpretation.R	665d2b1610f810cb6056430f0b5615385e4b87cc7f2dfc9176feb2fd15948d7a	Search-aware descriptive permutation evidence	compliant	canonical semantic roles or signed diverging roles are explicit	descriptive search-aware evidence
association-abstention	plot.AssociationAbstention	R/13b-component-interpretation.R	665d2b1610f810cb6056430f0b5615385e4b87cc7f2dfc9176feb2fd15948d7a	Visible explanation when an association cannot be estimated	compliant	canonical semantic roles or signed diverging roles are explicit	typed abstention evidence
component-abstention	plot.ComponentAbstention	R/13b-component-interpretation.R	665d2b1610f810cb6056430f0b5615385e4b87cc7f2dfc9176feb2fd15948d7a	Visible explanation when no component can be nominated	compliant	canonical semantic roles or signed diverging roles are explicit	typed abstention evidence
independent-time-course	plot.MetadataAssociationAtlas	R/13c-independent-time-course-interpretation.R	b47ad3daf3304fdccaaa85165a488614152f266c059d6b1eda1d59ddfc045949	Destructive-time-course trajectory evidence	compliant	canonical semantic roles or signed diverging roles are explicit	exploratory scientific evidence
repeated-subject-time-course	plot.MetadataAssociationAtlas	R/13d-repeated-time-course-interpretation.R	bf5d9b9fa431c1ef2f71ca704b5498677bd40350e349f00dbb4abb98959ccbd1	Subject-preserving repeated-measures evidence	compliant	canonical semantic roles or signed diverging roles are explicit	exploratory scientific evidence
stage1-components-categorical	plot_components	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	Descriptive component distributions by category	intentional-exception	data-role scale is permitted when named and captioned	descriptive state-space evidence
stage1-components-continuous	plot_components	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	Descriptive component distributions by continuous metadata	intentional-exception	data-role scale is permitted when named and captioned	descriptive state-space evidence
stage1-decomposition	plot_decomposition	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	Sample-level state-space coordinates by molecular layer	intentional-exception	data-role scale is permitted when named and captioned	descriptive state-space evidence
stage1-spectrum	plot_spectrum	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	Spectral structure and model-based detectability reference	compliant	canonical semantic roles or signed diverging roles are explicit	descriptive state-space evidence
stage2-potential	plot_potential	R/16-stage2-plots.R	ee7b8a9c6bb098660a5adb24b1d8df50b9cf3533653ac5cc0849cb89dcb1f04a	Exploratory one-dimensional state-transition landscape	intentional-exception	data-role scale is permitted when named and captioned	exploratory state-transition evidence
stage2-potential-critical-points	plot_potential	R/16-stage2-plots.R	ee7b8a9c6bb098660a5adb24b1d8df50b9cf3533653ac5cc0849cb89dcb1f04a	Optional stored-well and barrier-point display	intentional-exception	data-role scale is permitted when named and captioned	exploratory state-transition evidence
k1-operating-domain	plot_k1_operating_domain	R/13o-stage0-k1-operating-domain-locator.R	3411955be1827b3a1a5eb00f96be4dc9c752c6a010a8ee4f54b0acac6c7a0467	Diagnostic comparison of an experiment with calibrated operating support	compliant	canonical semantic roles or signed diverging roles are explicit	diagnostic operating-domain evidence
identifiability-primary	plot_component_identifiability	R/13e-axis-identifiability.R	783b149b092af5a7f311a04be48e4a7628f7ea66a313ea439668b9477d6fdd69	Primary numerical-identifiability summary	compliant	canonical semantic roles or signed diverging roles are explicit	diagnostic identifiability evidence
identifiability-diagnostic	plot_component_identifiability	R/13e-axis-identifiability.R	783b149b092af5a7f311a04be48e4a7628f7ea66a313ea439668b9477d6fdd69	Focused diagnostic for loading agreement and effect magnitude	compliant	canonical semantic roles or signed diverging roles are explicit	diagnostic identifiability evidence
identifiability-audit	plot_component_identifiability	R/13e-axis-identifiability.R	783b149b092af5a7f311a04be48e4a7628f7ea66a313ea439668b9477d6fdd69	Full evidence surface for axis and subspace instability	compliant	canonical semantic roles or signed diverging roles are explicit	diagnostic identifiability evidence
